avg_inventory,stockout_days,cycle_service_level_%,lost_units,total_units_ordered,avg_daily_forecast,protection_period_days,reorder_point,target_level,safety_stock,inventory_capacity,product_id,oof_error_std,capacity_fraction,scenario
552.3763471570445,1,98.33,75.9,5899.1,102.65,10,1188.1,1188.1,161.7,,P001,30.98096379463303,,A - Normal demand
578.3576970163053,0,100.0,0.0,6172.0,104.9,10,1223.6,1223.6,174.6,,P002,33.46094220074016,,A - Normal demand
609.8794046012943,0,100.0,0.0,7242.0,122.67,10,1357.2,1357.2,130.5,,P003,25.0188142417967,,A - Normal demand
699.2413930156617,1,98.33,3.4,8200.6,135.62,10,1542.6,1542.6,186.4,,P004,35.7149321709728,,A - Normal demand
589.9985610192532,0,100.0,0.0,6639.0,111.39,10,1266.1,1266.1,152.2,,P005,29.17025973783937,,A - Normal demand
487.23562442633,0,100.0,0.0,6254.0,105.52,10,1141.8,1141.8,86.5,,P006,16.587522688815195,,A - Normal demand
139.18444839490832,3,95.0,60.8,1564.2,26.81,10,306.2,306.2,38.1,,P007,7.297271541074243,,A - Normal demand
583.6938644868604,2,96.67,81.9,7816.1,131.79,10,1424.1,1424.1,106.2,,P008,20.35262942272522,,A - Normal demand
523.9895748777251,0,100.0,0.0,6137.0,101.11,10,1161.1,1161.1,150.0,,P009,28.744940691705768,,A - Normal demand
540.8756354952657,0,100.0,0.0,6253.0,107.08,10,1183.8,1183.8,113.0,,P010,21.6552631828516,,A - Normal demand
626.4976914266432,1,98.33,149.1,7747.9,129.26,10,1454.9,1454.9,162.3,,P011,31.105245508699607,,A - Normal demand
512.2468056177269,0,100.0,0.0,5814.0,100.87,10,1117.6,1117.6,108.9,,P012,20.86530303968496,,A - Normal demand
564.3902689360804,0,100.0,0.0,5845.0,101.92,10,1174.0,1174.0,154.8,,P013,29.675083235472044,,A - Normal demand
542.0233337519098,1,98.33,57.0,5965.0,107.24,10,1146.0,1146.0,73.7,,P014,14.116508971390557,,A - Normal demand
133.53321745095545,0,100.0,0.0,1373.0,23.67,10,276.0,276.0,39.4,,P015,7.541847721453443,,A - Normal demand
310.79168745185683,0,100.0,0.0,3097.0,56.47,10,633.9,633.9,69.2,,P016,13.270595581085496,,A - Normal demand
205.44480491464546,0,100.0,0.0,2371.0,40.93,10,468.1,468.1,58.8,,P017,11.271076302843104,,A - Normal demand
470.19833094455737,1,98.33,14.9,4995.1,91.28,10,999.1,999.1,86.2,,P018,16.52544647305118,,A - Normal demand
211.66979657794874,2,96.67,45.6,1898.4,34.56,10,400.4,400.4,54.8,,P019,10.502267732765807,,A - Normal demand
154.57820297774336,0,100.0,0.0,1138.0,22.08,10,274.4,274.4,53.7,,P020,10.29062667669514,,A - Normal demand
472.9940557118295,0,100.0,0.0,4891.0,85.99,10,975.7,975.7,115.9,,P021,22.208084100592476,,A - Normal demand
365.6775671934525,2,96.67,66.7,4385.3,73.48,10,829.2,829.2,94.3,,P022,18.079240309471995,,A - Normal demand
410.1993144874848,0,100.0,0.0,4102.0,72.9,10,820.9,820.9,91.9,,P023,17.607857965075166,,A - Normal demand
659.4128399649179,0,100.0,0.0,8005.0,133.05,10,1492.6,1492.6,162.1,,P024,31.070039767417594,,A - Normal demand
460.33295459568524,0,100.0,0.0,5050.0,90.15,10,988.2,988.2,86.7,,P025,16.6251247330455,,A - Normal demand
555.3851775515432,1,98.33,50.2,7163.8,117.52,10,1314.8,1314.8,139.6,,P026,26.76268459209602,,A - Normal demand
392.87250581878675,0,100.0,0.0,4024.0,71.8,10,819.9,819.9,101.9,,P027,19.536590055217047,,A - Normal demand
235.37080411816925,0,100.0,0.0,2080.0,37.89,10,451.8,451.8,72.9,,P028,13.969966929850669,,A - Normal demand
507.2232611390807,0,100.0,0.0,4844.0,87.36,10,1010.0,1010.0,136.4,,P029,26.140103381777763,,A - Normal demand
